State,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/01/20,4/02/20,4/03/20,4/04/20,4/05/20,4/06/20,4/07/20,4/08/20,4/09/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/01/20,5/02/20,5/03/20,5/04/20,5/05/20,5/06/20,5/07/20,5/08/20,5/09/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/01/20,6/02/20,6/03/20,6/04/20,6/05/20,6/06/20,6/07/20,6/08/20,6/09/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/01/20,7/02/20,7/03/20,7/04/20,7/05/20,7/06/20,7/07/20,7/08/20,7/09/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/01/20,8/02/20,8/03/20,8/04/20,8/05/20,8/06/20,8/07/20,8/08/20,8/09/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/01/20,9/02/20,9/03/20,9/04/20,9/05/20,9/06/20,9/07/20,9/08/20,9/09/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/01/20,10/02/20,10/03/20,10/04/20,10/05/20,10/06/20,10/07/20,10/08/20,10/09/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/01/20,11/02/20,11/03/20,11/04/20
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,4,5,9,9,9,12,15,21,22,24,22,27,32,38,47,50,52,67,72,81,86,91,96,105,112,127,139,153,165,178,185,190,205,224,231,240,251,258,264,277,285,304,311,323,328,336,350,358,368,375,383,392,400,407,412,418,427,432,440,440,445,453,460,462,466,468,470,473,475,479,483,489,491,495,499,502,506,511,515,515,520,523,527,530,531,533,535,537,541,543,546,548,550,551,551,553,554,555,557,559,561,561,564,568,568,568,568,568,568,571,574,577,578,578,579,580,580,581,581,581,581,582,583,584,584,584,584,584,586,587,587,587,589,590,591,591,593,593,594,594,597,597,597,599,600,601,602,604,604,604,604,605,605,605,605,606,607,607,608,609,611,611,611,611,611,615,616,616,616,616,616,616,617,619,619,619,620,621,621,621,621,623,624,624,624,626,627,628,629,629,631,631,631,631,634,634,636,637,637,637,638,638,641,641,641,641,642,642,642,642,642,642,642,644,644,645,646,646,646,647,647,647
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,4,5,6,7,9,10,13,13,18,18,23,29,35,54,56,63,85,87,164,170,195,221,236,283,309,354,390,438,461,499,571,596,668,725,748,774,822,867,893,987,1046,1055,1075,1088,1171,1218,1268,1314,1364,1379,1399,1471,1539,1600,1669,1715,1721,1735,1779,1827,1875,1917,1964,1973,1997,2052,2096,2144,2190,2233,2237,2252,2259,2319,2364,2413,2447,2451,2460,2530,2566,2607,2660,2688,2700,2712,2765,2801,2848,2877,2925,2931,2938,2993,3018,3061,3104,3144,3161,3173,3238,3281,3327,3366,3390,3419,3447,3505,3550,3617,3684,3702,3731,3778,3841,3889,4009,4102,4197,4242,4277,4409,4521,4677,4805,4895,4982,5072,5206,5345,5518,5653,5777,5854,5931,6117,6333,6586,6843,7022,7084,7157,7402,7627,7747,7927,8109,8186,8277,8553,8765,8913,9141,9345,9452,9539,9758,9932,10049,10168,10274,10325,10397,10580,10733,10868,10957,11105,11119,11187,11374,11501,11650,11750,11811,11849,11871,11915,12110,12326,12502,12600,12608,12642,12787,12939,13086,13225,13287,13296,13317,13416,13618,13795,13915,14022,14032,14037,14143,14317,14444,14554,14628,14671,14712,14767,14904,15068,15186,15186,15364,15412,15531,15595,15736,15830,15917,15967,16021,16105,16210,16267,16340,16417,16429,16449,16505,16571,16648,16720,16761,16789,16834,16890,16922
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,10,13,14,25,25,32,40,48,64,69,80,87,111,139,163,184,201,211,229,329,362,379,416,429,433,465,525,552,587,650,673,687,775,798,848,881,899,907,916,995,1036,1101,1132,1169,1177,1184,1246,1299,1327,1355,1400,1403,1406,1444,1498,1517,1545,1588,1598,1610,1649,1675,1697,1775,1808,1822,1827,1848,1896,1933,1973,1987,2004,2053,2094,2102,2123,2149,2174,2178,2180,2208,2285,2329,2375,2418,2447,2451,2494,2529,2575,2605,2636,2642,2643,2648,2695,2698,2745,2770,2776,2778,2784,2805,2827,2849,2857,2857,2860,2878,2899,2922,2930,2965,2996,3003,3026,3054,3091,3105,3132,3169,3174,3177,3254,3335,3361,3443,3494,3498,3509,3563,3642,3671,3752,3825,3840,3842,3921,3984,4026,4117,4186,4199,4229,4351,4456,4538,4573,4669,4702,4727,4794,4849,4904,4998,5092,5132,5156,5262,5311,5393,5471,5576,5604,5633,5733,5795,5868,5931,5977,6037,6044,6070,6128,6204,6246,6287,6333,6353,6397,6419,6474,6536,6599,6602,6604,6673,6769,6816,6874,6914,6946,6961,6994,7021,7063,7106,7133,7162,7192,7229,7259,7294,7348,7393,7416,7429,7454,7470,7492,7556,7607,7638,7657,7674,7704,7729,7766,7808,7809,7827,7844,7876,7923,7955,7979,7981,7999,8029,8072
Grand Princess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,9,9,10,10,10,10,13,13,13,14,14,14,14,19,20,21,23,23,23,26,28,28,30,31,31,31,35,37,37,38,39,39,39,39,47,49,49,49,49,49,54,55,57,57,58,58,58,60,61,61,61,63,63,63,66,66,68,69,69,69,69,75,75,76,78,79,79,79,79,80,83
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,3,4,5,5,5,6,6,8,9,9,9,9,9,9,9,10,10,10,12,12,13,13,14,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,22,22,22,22,23,24,24,24,24,25,26,26,26,26,26,26,26,26,26,26,26,26,27,27,29,31,31,31,34,34,38,40,40,40,40,40,41,42,45,46,47,47,49,49,51,55,59,62,63,70,74,75,79,81,84,85,86,88,91,94,96,97,99,99,100,103,107,120,120,120,120,120,122,124,127,131,132,132,134,136,139,142,153,156,157,160,163,164,166,168,169,169,173,183,184,185,186,187,187,189,203,206,209,212,212,212,215,213,215,216,219,219,219,219,219
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,6,8,9,9,9,10,10,10,13,15,18,24,25,27,27,33,39,41,41,43,44,45,48,51,54,54,56,56,56,60,60,60,63,64,64,64,65,66,67,67,67,67,70,69,69,72,72,73,73,74,74,77,77,79,79,79,79,79,81,82,82,82,82,82,83,83,83,83,83,83,83,85,85,85,87,87,87,87,88,88,89,89,89,89,89,89,89,90,90,91,91,91,92,92,92,93,93,93,94,94,98,100,101,102,102,102,103,110,114,118,119,119,122,126,135,138,144,144,146,152,160,173,177,188,197,197,200,210,217,223,229,235,237,239,246,246,251,265,269,269,273,282,289,296,305,306,307,314,326,337,343,353,358,359,361,367,372,372,382,384,385,385,389,420,407,412,415,415,419,423,429,434,438,441,443,447,451,454,457,458,460,460,460,464,469,472,474,480,482,487,492,500,503,506,507,507,510,512,516,517,523,529,528,531,535,546,553,562,572,573,580,585,599,615,626,629,630,632,647,664
Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,6,9,12,16,19,26,34,47,66,73,99,141,163,210,244,274,307,308,462,462,597,677,720,798,868,949,1072,1132,1259,1290,1349,1468,1565,1688,1795,1875,1933,1983,2125,2215,2355,2457,2559,2618,2659,2834,2974,3111,3241,3349,3406,3459,3601,3792,3928,4059,4129,4177,4234,4379,4525,4607,4715,4790,4856,4885,4923,5083,5186,5270,5330,5390,5412,5525,5621,5736,5795,5864,5904,5924,6018,6095,6185,6260,6289,6308,6326,6398,6485,6537,6580,6625,6647,6671,6707,6770,6810,6847,6873,6888,6902,6923,6951,6951,7005,7014,7020,7026,7273,7309,7329,7345,7369,7388,7394,7419,7427,7452,7465,7483,7488,7494,7517,7540,7560,7577,7589,7590,7608,7638,7654,7670,7692,7700,7714,7723,7742,7770,7791,7822,7840,7845,7846,7866,7881,7905,7932,7937,7955,7967,7994,8017,8044,8066,8083,8089,8097,8126,8163,8186,8206,8217,8228,8235,8273,8300,8324,8362,8385,8390,8398,8405,8433,8461,8505,8527,8541,8546,8564,8599,8624,8647,8672,8686,8693,8722,8744,8774,8807,8832,8845,8858,8881,8916,8940,8992,9023,9040,9054,9085,9127,9159,9191,9221,9230,9243,9273,9320,9373,9425,9452,9474,9496,9537,9605,9647,9688,9751,9775,9792,9838,9889,9945,9994,10040,10075,10093,10161,10216
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,6,7,12,14,17,25,31,32,35,49,65,78,102,116,127,143,173,203,245,300,330,343,350,387,436,477,522,545,562,577,635,666,706,741,786,813,844,901,964,1114,1175,1115,1132,1151,1211,1377,1414,1447,1490,1508,1540,1578,1619,1646,1691,1741,1751,1765,1824,1864,1913,1941,1964,1976,1984,2004,2030,2068,2110,2125,2134,2143,2197,2207,2231,2258,2292,2303,2316,2339,2355,2380,2396,2413,2422,2433,2447,2475,2491,2516,2536,2540,2553,2569,2578,2586,2595,2616,2619,2624,2640,2650,2662,2681,2687,2693,2698,2717,2732,2739,2748,2756,2760,2762,2775,2785,2795,2803,2820,2822,2825,2846,2863,2880,2884,2895,2903,2906,2924,2932,2946,2965,2971,2975,2980,2996,3007,3013,3023,3036,3041,3044,3069,3086,3105,3113,3128,3133,3135,3165,3180,3191,3208,3218,3220,3225,3241,3259,3266,3277,3285,3291,3296,3312,3325,3332,3350,3362,3364,3368,3380,3397,3410,3420,3437,3438,3439,3460,3472,3478,3495,3503,3506,3512,3520,3530,3548,3566,3577,3580,3591,3612,3632,3645,3656,3669,3674,3681,3711,3727,3742,3761,3782,3789,3795,3822,3836,3864,3887,3918,3937,3960,4008,4023,4065,4092,4118,4130,4143,4194,4227,4260,4286,4332,4364,4390,4439,4464
Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,6,7,9,11,11,14,18,25,25,27,29,31,34,41,41,49,53,60,64,74,75,79,83,90,96,107,112,118,127,136,148,162,170,175,184,188,207,219,231,243,252,265,271,289,306,318,336,346,351,355,367,393,410,424,446,456,456,477,496,506,524,531,535,555,561,574,583,593,599,605,617,626,631,640,644,650,652,658,665,675,680,681,681,686,686,689,690,696,704,704,706,711,716,717,719,721,721,721,723,732,736,741,743,748,752,755,757,777,781,785,789,793,798,806,814,820,826,826,829,836,839,854,865,872,874,878,884,888,900,912,915,927,931,934,946,953,960,970,975,975,987,1002,1010,1016,1029,1033,1037,1047,1059,1071,1091,1108,1100,1113,1120,1125,1133,1136,1158,1164,1167,1170,1185,1204,1207,1216,1218,1220,1224,1234,1248,1250,1264,1265,1265,1284,1293,1298,1303,1312,1314,1316,1324,1341,1358,1366,1377,1381,1387,1398,1413,1419,1433,1454,1459,1462,1481,1491,1505,1516,1524,1528,1532,1548,1576,1594,1601,1629,1634,1635,1657,1680,1691,1705,1714,1716,1733,1756,1780,1801
Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,7,8,9,10,12,18,21,22,25,29,34,42,42,55,56,62,69,71,80,82,85,93,102,109,112,113,118,120,121,126,127,134,134,140,142,144,156,161,164,165,168,174,174,180,184,188,189,193,195,195,198,199,202,204,205,205,205,207,210,213,214,215,215,215,217,222,226,227,232,233,233,236,237,240,243,243,245,245,246,246,247,251,253,256,257,258,260,260,262,265,268,269,273,273,277,280,282,283,284,285,289,289,293,293,295,297,298,299,304,305,306,308,309,312,316,321,322,330,329,331,333,340,349,357,358,358,361,367,368,372,378,379,380,380,386,393,397,403,404,406,406,406,411,415,419,426,426,426,429,430,442,444,445,449,449,451,456,461,471,478,480,481,483,484,499,503,516,526,528,542,557,578,582,594,594,595,601,614,620,621,635,635,635,644,651,669,672,688,690,690,698,701,713,747,771,773,774,787,799,817,832,857,859,859,870,895,914,937,950,956,956,969,983,1001,1008,1019,1025,1025,1045,1057,1070
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,5,5,7,9,9,11,11,18,31,34,40,45,45,65,65,73,90,90,97,113,106,115,129,137,144,146,154,171,185,191,200,205,208,213,225,234,240,246,248,253,261,275,283,294,298,304,304,311,321,321,328,332,334,334,346,366,376,386,391,391,391,391,394,400,409,418,431,431,439,442,450,458,466,470,470,472,477,484,493,497,499,499,505,505,518,520,522,524,526,526,537,538,546,553,554,558,560,565,572,581,585,585,585,593,602,608,612,620,622,625,629,635,645,650,658,667,670,671,674,677,684,691,696,700,709,719,724,731,735,740,742,744,751,752,760,764,772,773,775,783,790,796,804,810,810,818,830,842,856,864,872,872,884,895,902,910,918,921,929,933,948,966,976,987,993,996,996,997,1013,1035,1044,1057,1060,1065,1074,1082,1093,1101,1108,1111,1112,1119,1124,1137,1149,1154,1157,1162,1170,1174,1191,1197,1205,1209,1214,1218,1223,1234,1242,1249,1252,1255,1269,1276,1296,1300,1312,1318,1326,1342,1363,1380,1396,1404,1407,1410,1428,1442,1461,1476,1485,1489,1492,1503,1514
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,10,14,16,20,35,46,65,83,119,137,151,185,239,273,310,370,409,477,512,582,652,702,755,806,840,884,1013,1103,1156,1213,1267,1296,1328,1405,1473,1599,1660,1707,1729,1740,1801,1845,1905,1970,1993,2012,2064,2115,2167,2208,2227,2267,2286,2308,2347,2381,2417,2448,2479,2491,2563,2581,2608,2629,2668,2668,2691,2691,2702,2723,2741,2767,2786,2791,2801,2835,2870,2883,2912,2925,2936,2944,2957,2968,2987,2996,3004,3014,3018,3042,3062,3062,3084,3104,3105,3117,3134,3152,3164,3190,3190,3199,3199,3221,3238,3255,3278,3278,3288,3296,3319,3339,3355,3380,3403,3416,3423,3445,3461,3485,3509,3509,3543,3462,3498,3558,3574,3715,3715,3763,3786,3812,3883,3925,3949,3949,4007,4024,4051,4096,4146,4207,4207,4263,4287,4313,4356,4402,4430,4430,4507,4526,4554,4609,4637,4687,4687,4746,4764,4797,4851,4874,4904,4904,4931,4950,4984,5004,5021,5035,5035,5093,5105,5118,5140,5161,5202,5202,5235,5252,5278,5296,5313,5342,5342,5368,5377,5388,5407,5423,5444,5444,5465,5480,5490,5511,5519,5545,5545,5577,5586,5592,5604,5609,5635,5635,5655,5669,5679,5695,5707,5727,5727,5750,5766,5772,5784,5799,5820,5820,5837,5854,5872,5890,5908,5919,5919,5926,5934,5951,5975
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,5,7,9,10,10,10,12,14,16,17,19,19,19,20,24,27,29,32,34,35,36,39,44,47,47,50,51,51,52,53,55,56,57,57,61,62,62,63,64,64,65,65,66,69,69,70,70,71,73,73,73,75,77,78,78,79,81,84,85,89,89,89,94,95,95,98,98,99,99,100,100,100,100,100,100,101,101,102,102,102,102,102,102,102,103,103,103,104,104,105,105,105,105,105,107,109,109,110,110,111,111,112,114,114,114,114,114,115,117,117,117,118,118,118,118,119,119,119,121,121,122,123,123,123,124,123,124,124,124,125,125,125,126,126,126,126,127,127,127,127,127,128,129,130,131,131,131,132,132,132,132,132,132,132,133,133,134,134,134,134,134,134,134,134,135,136,136,137,138,138,138,139,139,140,140,140,140,140,140,140,140,141,141,141,141,142,142,142,142,142,142,143,143,143,143,143,143,144,145,146,146,146,146,146,146,146,146,146,146,146,146,146,146,147,147,148,148,150
Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,4,4,5,5,10,15,18,31,36,43,54,67,91,103,124,138,171,206,236,262,302,311,319,334,421,461,582,652,698,748,798,875,910,945,1016,1078,1140,1080,1251,1281,1317,1390,1437,1503,1560,1614,1644,1683,1756,1809,1866,1911,1957,1992,2023,2081,2123,2159,2207,2243,2277,2302,2333,2392,2428,2466,2509,2532,2552,2597,2641,2668,2702,2740,2749,2776,2811,2844,2875,2900,2926,2939,2947,2982,2996,3016,3030,3052,3066,3074,3092,3108,3129,3142,3157,3168,3175,3190,3205,3212,3223,3236,3243,3246,3266,3275,3288,3303,3310,3319,3325,3334,3341,3347,3359,3368,3377,3382,3402,3405,3409,3422,3433,3440,3447,3458,3478,3488,3493,3506,3515,3523,3530,3536,3551,3565,3577,3585,3591,3604,3612,3620,3631,3636,3639,3641,3650,3661,3669,3674,3685,3691,3694,3707,3717,3722,3727,3746,3752,3755,3761,3766,3778,3789,3796,3799,3804,3807,3816,3824,3828,3836,3838,3839,3849,3855,3861,3869,3876,3879,3883,3895,3902,3909,3917,3925,3935,3938,3946,3949,3949,3950,3957,3958,3961,3967,3973,3979,3990,3995,3999,4003,4012,4022,4028,4032,4036,4037,4041,4050,4058,4070,4078,4091,4096,4099,4108,4115,4127,4137,4147,4152,4155,4162,4172
Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9,11,15,25,35,44,48,56,89,122,154,192,216,231,260,356,433,503,599,686,756,844,844,1108,1108,1245,1404,1706,1706,1961,2182,2360,2556,2730,2899,3003,3153,3405,3562,3716,3846,4004,4090,4212,4420,4552,4702,4840,4979,5108,5141,5315,5482,5592,5705,5797,5862,5938,6066,6148,6228,6304,6372,6416,6473,6547,6640,6718,6768,6846,7035,7085,7152,7201,7235,7289,7316,7353,7408,7454,7492,7538,7576,7624,7647,7664,7733,7769,7799,7827,7857,7873,7889,7937,7962,8012,8040,8059,8094,8053,8053,8132,8149,8172,8183,8198,8213,8243,8268,8296,8310,8325,8330,8340,8368,8380,8402,8419,8431,8433,8450,8468,8484,8498,8510,8529,8536,8551,8580,8580,8609,8626,8638,8648,8657,8659,8691,8709,8721,8735,8741,8751,8769,8790,8810,8826,8838,8842,8848,8876,8888,8901,8921,8921,8949,8961,8987,9008,9024,9036,9049,9060,9064,9060,9077,9100,9116,9125,9133,9141,9146,9166,9180,9196,9210,9219,9225,9245,9260,9269,9295,9310,9317,9328,9347,9362,9373,9391,9404,9415,9423,9456,9480,9490,9507,9510,9530,9538,9557,9565,9577,9587,9604,9617,9630,9647,9672,9702,9723,9737,9753,9758,9780,9810,9830,9839,9864,9881,9888,9924,9951,9975,9991,10013,10023,10035,10062
Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,9,15,24,43,61,92,111,132,184,259,335,417,479,540,617,727,845,959,1076,1276,1384,1479,1602,1768,1921,1996,2227,2308,2391,2468,2575,2813,2977,3085,3155,3315,3407,3568,3670,3789,3866,4021,4053,4139,4183,4256,4345,4399,4530,4555,4584,4674,4714,4787,4825,4881,4891,4915,5017,5060,5129,5158,5223,5228,5241,5266,5334,5372,5406,5464,5491,5516,5553,5570,5595,5854,5894,5898,5916,5943,5955,5985,5990,6013,6016,6018,6034,6036,6061,6067,6087,6090,6097,6109,6114,6133,6134,6153,6157,6161,6193,6198,6212,6215,6218,6218,6221,6251,6262,6271,6285,6313,6314,6321,6326,6330,6348,6355,6364,6366,6373,6382,6388,6395,6400,6400,6400,6405,6421,6422,6443,6450,6457,6457,6467,6471,6478,6506,6524,6520,6519,6526,6533,6539,6555,6566,6586,6592,6592,6608,6618,6634,6634,6655,6659,6663,6684,6690,6706,6712,6712,6748,6753,6767,6781,6791,6798,6806,6806,6810,6811,6886,6894,6900,6911,6911,6921,6932,6943,6955,6954,6969,6969,6981,6997,7013,7019,7027,7044,7044,7051,7072,7083,7102,7110,7124,7124,7139,7161,7169,7193,7200,7219,7219,7225,7255,7268,7302,7317,7340,7340,7363,7383,7418,7464,7484,7522,7522,7552,7585,7606,7653,7665,7699,7699,7716,7761,7782
